id,name,commonName,emoji,category,family,climate,difficulty,growthTime
carrot-1,"Daucus carota","Carrot",🥕,"Vegetable","Apiaceae","Temperate","Easy","1 year"
tomato-1,"Solanum lycopersicum","Tomato",🍅,"Vegetable","Solanaceae","Temperate","Medium","1 year"
basil-1,"Ocimum basilicum","Basil",🌿,"Herb","Lamiaceae","Tropical","Easy","1 year"
apple-1,"Malus domestica","Apple",🍎,"Fruit","Rosaceae","Temperate","Medium","5 years"
strawberry-1,"Fragaria ananassa","Strawberry",🍓,"Fruit","Rosaceae","Temperate","Easy","1 year"
potato-1,"Solanum tuberosum","Potato",🥔,"Vegetable","Solanaceae","Temperate","Medium","1 year"
onion-1,"Allium cepa","Onion",🧅,"Vegetable","Amaryllidaceae","Temperate","Easy","1 year"
garlic-1,"Allium sativum","Garlic",🧄,"Vegetable","Amaryllidaceae","Temperate","Easy","1 year"
lettuce-1,"Lactuca sativa","Lettuce",🥬,"Vegetable","Asteraceae","Temperate","Easy","1 year"
spinach-1,"Spinacia oleracea","Spinach",🥬,"Vegetable","Amaranthaceae","Temperate","Easy","1 year"
cabbage-1,"Brassica oleracea","Cabbage",🥬,"Vegetable","Brassicaceae","Temperate","Medium","1 year"
broccoli-1,"Brassica oleracea var. italica","Broccoli",🥦,"Vegetable","Brassicaceae","Temperate","Medium","1 year"
cauliflower-1,"Brassica oleracea var. botrytis","Cauliflower",🥦,"Vegetable","Brassicaceae","Temperate","Medium","1 year"
bell-pepper-1,"Capsicum annuum","Bell Pepper",🫑,"Vegetable","Solanaceae","Tropical","Medium","1 year"
cucumber-1,"Cucumis sativus","Cucumber",🥒,"Vegetable","Cucurbitaceae","Tropical","Easy","1 year"
pumpkin-1,"Cucurbita pepo","Pumpkin",🎃,"Vegetable","Cucurbitaceae","Temperate","Medium","1 year"
zucchini-1,"Cucurbita pepo","Zucchini",🥒,"Vegetable","Cucurbitaceae","Temperate","Easy","1 year"
eggplant-1,"Solanum melongena","Eggplant",🍆,"Vegetable","Solanaceae","Tropical","Medium","1 year"
radish-1,"Raphanus sativus","Radish",🥬,"Vegetable","Brassicaceae","Temperate","Easy","1 year"
beet-1,"Beta vulgaris","Beet",🫘,"Vegetable","Amaranthaceae","Temperate","Easy","1 year"
turnip-1,"Brassica rapa","Turnip",🥬,"Vegetable","Brassicaceae","Temperate","Easy","1 year"
parsnip-1,"Pastinaca sativa","Parsnip",🥕,"Vegetable","Apiaceae","Temperate","Easy","1 year"
celery-1,"Apium graveolens","Celery",🥬,"Vegetable","Apiaceae","Temperate","Medium","1 year"
asparagus-1,"Asparagus officinalis","Asparagus",🥬,"Vegetable","Asparagaceae","Temperate","Medium","3 years"
artichoke-1,"Cynara scolymus","Artichoke",🥬,"Vegetable","Asteraceae","Mediterranean","Medium","2 years"
okra-1,"Abelmoschus esculentus","Okra",🥬,"Vegetable","Malvaceae","Tropical","Medium","1 year"
corn-1,"Zea mays","Corn",🌽,"Vegetable","Poaceae","Temperate","Easy","1 year"
peas-1,"Pisum sativum","Peas",🫘,"Vegetable","Fabaceae","Temperate","Easy","1 year"
green-beans-1,"Phaseolus vulgaris","Green Beans",🫘,"Vegetable","Fabaceae","Temperate","Easy","1 year"
lentils-1,"Lens culinaris","Lentils",🫘,"Vegetable","Fabaceae","Temperate","Easy","1 year"
chickpeas-1,"Cicer arietinum","Chickpeas",🫘,"Vegetable","Fabaceae","Temperate","Easy","1 year"
banana-1,"Musa acuminata","Banana",🍌,"Fruit","Musaceae","Tropical","Easy","2 years"
